"Taxa"	"Type"	"Auto"	"Varin_Total"
1	2	0	9.6997
2	2	1	7.7168
3	2	0	11.6986
4	1	0	7.2361
5	3	0	10.6992
6	3	0	0.8278
7	3	1	2.1107
8	2	0	9.5369
9	1	1	32.3035
10	2	0	0.9655
11	1	1	0.9077
12	3	1	4.8273
13	2	0	0.7234
14	2	0	34.6561
15	2	0	47.4574
16	3	1	2.9427
17	3	0	9.1677
18	1	0	9.2739
19	2	1	7.2802
20	2	0	8.3193
21	2	0	8.3277
22	3	0	3.4408
23	2	0	4.6659
24	2	1	3.1375
25	3	0	3.3676
26	2	1	36.7048
27	3	0	45.6153
28	3	0	0.8631
29	3	0	4.4973
30	3	0	0.5151
31	3	0	34.7073
32	1	0	2.1144
33	3	0	9.7121
34	2	0	6.6312
35	2	1	8.6891
36	1	0	0.7775
37	3	1	2.2707
38	3	0	6.7487
39	1	1	8.5003
40	1	0	9.8544
41	1	0	8.5721
42	2	0	0.8648
43	1	0	1.4524
44	2	0	6.3095
45	3	0	37.3861
46	2	0	0.9952
47	2	0	36.29
48	3	1	30.8651
49	2	0	45.734
50	2	0	39.0019
51	1	0	7.3852
52	2	0	0.5004
53	2	0	1.1034
54	1	0	42.445
55	1	1	8.4057
56	2	0	5.842
57	2	0	40.5529
58	3	0	4.2366
59	2	0	11.8734
60	2	0	36.4033
61	2	1	0.802
62	2	0	4.1074
63	2	1	6.7238
64	2	0	0.7213
65	1	0	9.5141
66	2	0	8.4564
67	2	0	41.7422
68	2	0	5.7689
69	3	1	44.7363
70	2	0	5.619
71	2	0	8.2765
72	1	1	8.2239
73	3	1	0.6088
74	1	1	6.1376
75	2	0	42.7083
76	3	0	0.5928
77	3	0	0.683
78	2	0	4.8843
79	2	1	40.5566
80	2	1	7.1641
81	3	1	31.3991
82	2	1	0.9396
83	3	0	6.1126
84	3	0	0.5113
85	2	0	8.8771
86	1	1	6.2299
87	2	0	8.0712
88	2	0	44.0972
89	2	0	39.8193
90	2	1	5.6329
91	1	0	10.6732
92	2	1	45.3226
93	2	0	1.0366
94	3	0	30.5175
95	2	0	34.5068
96	2	0	48.6402
97	1	1	9.5006
98	2	1	0.5802
99	3	0	7.558
100	3	0	26.7253
101	3	0	37.4266
102	2	0	8.5782
103	2	0	0.8187
104	2	0	3.0097
105	3	0	46.1186
106	2	0	7.7506
107	1	0	0.9742
108	2	0	44.6921
109	1	1	0.9843
110	2	0	0.643
111	3	0	4.0595
112	2	1	6.9554
113	3	0	4.4049
114	2	0	0.5606
115	2	0	1.0526
116	2	0	8.5237
117	1	0	9.246
118	1	0	10.375
119	1	0	8.1682
120	2	0	4.1982
121	2	0	35.1179
122	3	0	4.1456
123	3	1	3.3183
124	2	0	4.8739
125	2	0	0.6204
126	3	0	3.2154
127	1	0	1.1593
128	2	0	6.7207
129	3	0	7.4308
130	3	0	0.3832
131	3	0	0.8327
132	3	0	4.0161
133	3	0	3.8504
134	1	0	38.4855
135	2	0	0.9455
136	1	0	5.4123
137	3	0	1.336
138	1	0	38.162
139	2	0	0.6287
140	3	0	32.742
141	2	0	43
142	2	0	26.6276
143	2	0	8.5451
144	1	0	4.2562
145	2	0	1.717
146	2	0	34.623
147	1	1	0.4453
148	1	1	5.3848
149	2	1	0.9769
150	2	0	8.7831
151	3	0	4.7042
152	3	0	6.7358
153	2	0	7.7384
154	2	0	9.0574
155	1	0	1.0594
156	2	0	9.2734
157	2	1	0.8768
158	3	0	5.2666
159	2	1	6.2705
160	2	0	0.9146
161	2	1	10.3973
162	2	0	7.226
163	3	0	36.4507
164	2	0	7.0744
165	2	0	0.9536
166	3	0	2.9972
167	2	0	37.1373
168	2	1	6.5903
169	3	0	6.15
170	2	0	0.793
171	1	0	46.6753
172	2	0	1.0771
173	1	0	37.4139
174	3	1	3.5791
175	3	1	0.9988
176	2	0	8.3858
177	3	0	39.6963
178	2	0	1.4889
179	1	0	3.9117
180	1	0	6.3296
181	2	0	16.5172
182	2	0	18.7395
183	2	0	1.0064
184	2	0	8.03
185	2	0	5.2853
186	1	0	14.924
187	1	0	11.5057
188	2	0	52.1047
189	2	1	5.2367
190	3	0	0.4228
191	1	0	55.5343
192	1	0	47.662
193	1	0	2.3344
194	2	0	13.3764
195	2	0	61.0615
196	2	0	5.3821
197	3	0	7.13
198	2	1	7.1397
199	1	0	14.2903
200	2	0	16.8602
201	2	0	32.7179
202	2	1	6.6352
203	2	0	45.5482
204	2	0	6.194
205	1	0	8.3263
206	3	0	11.6801
207	2	0	1.3426
208	1	0	50.7564
209	1	1	1.6775
210	1	0	45.8383
211	2	0	1.7019
212	2	0	6.5154
213	1	1	2.7345
214	1	0	9.7
215	3	0	45.6284
216	2	0	11.324
217	2	0	35.1817
218	3	0	2.9328
219	1	0	2.124
220	3	0	11.3205
221	2	0	36.6045
222	2	0	51.3989
223	3	0	14.5725
224	1	0	2.4239
225	2	1	7.1159
226	2	0	1.1614
227	2	0	47.9428
228	1	0	14.8752
229	1	0	56.7857
230	2	1	10.0418
231	1	0	5.2974
232	2	0	2.0255
233	2	0	46.6338
234	2	0	10.9976
235	2	0	0.8699
236	1	0	2.0938
237	3	0	5.5685
238	2	0	5.5685
239	3	0	0.8143
240	1	0	10.9574
241	2	0	5.2303
242	3	0	3.4182
243	1	0	50.3693
244	1	0	54.2714
245	2	0	9.9843
246	2	0	30.6897
247	2	0	14.2006
248	2	0	2.4607
249	3	1	3.5346
250	2	0	1.0097
251	2	1	1.4634
252	2	1	1.7149
253	1	0	1.1635
254	1	0	2.1051
255	2	0	13.817
256	3	0	0.6068
257	2	1	0.8686
258	3	0	39.8657
259	3	0	43.7822
260	1	0	7.9694
261	2	0	0.9565
262	3	0	8.7327
263	3	1	0.7947
264	1	0	57.0706
265	2	0	1.3881
