"Taxa","Varin_Total"
"98",0.5802
"97",9.5006
"95",34.5068
"93",1.0366
"92",45.3226
"89",39.8193
"87",8.0712
"223",14.5725
"221",36.6045
"219",2.124
"187",11.5057
"216",11.324
"280",0.5791
"212",6.5154
"206",11.6801
"232",2.0255
"201",32.7179
"33",9.7121
"20",8.3193
"17",9.1677
"238",5.5685
"2",7.7168
"301",29.508
"194",13.3764
"192",47.662
"296",5.9578
"180",6.3296
"207",1.3426
"184",8.03
"307",26.3663
"183",1.0064
"237",5.5685
"193",2.3344
"178",1.4889
"155",1.0594
"175",0.9988
"18",9.2739
"174",3.5791
"173",37.4139
"88",44.0972
"169",6.15
"168",6.5903
"167",37.1373
"176",8.3858
"172",1.0771
"127",1.1593
"90",5.6329
"195",61.0615
"121",35.1179
"14",34.6561
"94",30.5175
"217",35.1817
"130",0.3832
"122",4.1456
"113",4.4049
"211",1.7019
"143",8.5451
"118",10.375
"125",0.6204
"240",10.9574
"134",38.4855
"117",9.246
"161",10.3973
"10",0.9655
"189",5.2367
"126",3.2154
"171",46.6753
"261",0.9565
"257",0.8686
"262",8.7327
"138",38.162
"124",4.8739
"111",4.0595
"112",6.9554
"120",4.1982
"67",41.7422
"246",30.6897
"245",9.9843
"123",3.3183
"9",32.3035
"144",4.2562
"16",2.9427
"1",9.6997
"210",45.8383
"179",3.9117
"132",4.0161
"106",7.7506
"200",16.8602
"81",31.3991
"15",47.4574
"158",5.2666
"235",0.8699
"275",47.8924
"305",30.9872
"314",1.4656
"101",37.4266
"78",4.8843
"248",2.4607
"214",9.7
"225",7.1159
"107",0.9742
"108",44.6921
"205",8.3263
"100",26.7253
"129",7.4308
"170",0.793
"139",0.6287
"208",50.7564
"288",51.8533
"209",1.6775
"133",3.8504
"204",6.194
"182",18.7395
"115",1.0526
"136",5.4123
"148",5.3848
"291",6.4742
"96",48.6402
"197",7.13
"218",2.9328
"146",34.623
"21",8.3277
"135",0.9455
"153",7.7384
"51",7.3852
"252",1.7149
"258",39.8657
"66",8.4564
"137",1.336
"222",51.3989
"140",32.742
"156",9.2734
"41",8.5721
"141",43
"142",26.6276
"105",46.1186
"34",6.6312
"86",6.2299
"45",37.3861
"19",7.2802
"186",14.924
"213",2.7345
"164",7.0744
"149",0.9769
"241",5.2303
"152",6.7358
"277",0.8883
"198",7.1397
"303",14.0701
"310",50.5613
"102",8.5782
"185",5.2853
"109",0.9843
"253",1.1635
"76",0.5928
"236",2.0938
"181",16.5172
"110",0.643
"145",1.717
"272",11.0437
"276",38.7932
"119",8.1682
"52",0.5004
"202",6.6352
"163",36.4507
"227",47.9428
"228",14.8752
"229",56.7857
"199",14.2903
"43",1.4524
"188",52.1047
"230",10.0418
"177",39.6963
"233",46.6338
"234",10.9976
"22",3.4408
"242",3.4182
"243",50.3693
"244",54.2714
"215",45.6284
"249",3.5346
"83",6.1126
"231",5.2974
"254",2.1051
"255",13.817
"302",32.0551
"61",0.802
"191",55.5343
"260",7.9694
"42",0.8648
"265",1.3881
"266",0.9907
"70",5.619
"274",8.9605
"267",5.4012
"268",5.8557
"284",1.1222
"311",6.5368
"278",0.7311
"279",2.3636
"281",57.3449
"282",12.2193
"71",8.2765
"283",0.4587
"285",36.5795
"116",8.5237
"190",0.4228
"286",13.6327
"165",0.9536
"196",5.3821
"247",14.2006
"287",32.4129
"289",8.1656
"29",4.4973
"309",14.3935
"290",8.4616
"162",7.226
"292",3.9218
"31",34.7073
"239",0.8143
"293",45.958
"294",4.1054
"12",4.8273
"295",42.7574
"4",7.2361
"297",51.9115
"298",52.5049
"224",2.4239
"299",12.9982
"3",11.6986
"58",4.2366
"30",0.5151
"220",11.3205
"25",3.3676
"312",8.4602
"300",6.788
"304",9.3449
"306",16.0493
"308",1.315
"313",11.382
"154",9.0574
"315",11.1335
"32",2.1144
"36",0.7775
"80",7.1641
"38",6.7487
"40",9.8544
"44",6.3095
"46",0.9952
"160",0.9146
"47",36.29
"104",3.0097
"5",10.6992
"50",39.0019
"56",5.842
"150",8.7831
"23",4.6659
"57",40.5529
"60",36.4033
"65",9.5141
"68",5.7689
"7",2.1107
"74",6.1376
"62",4.1074
"75",42.7083
"8",9.5369
"99",7.558
"84",0.5113
"49",45.734
"85",8.8771
