Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
EH23b.chr1,63722626,14201549,7060523,7211614,3358522,7189944,3368219,14242915,7080840,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
EH23b.chr5,78289000,21400423,4409201,11373280,2053013,11292707,2058724,21285206,4412446,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
EH23b.chr2,80157000,21489664,4919026,11451031,2314835,11452769,2317984,21311082,4896609,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
EH23b.chr3,83805000,22850264,4639830,12292599,2161091,12260323,2163874,22785943,4646076,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
EH23b.chr4,81133510,21119156,5809810,10910196,2699956,10905378,2704090,21165604,5806320,0,0,0,0,0,0,0,0,0,0,0,0,0,13000
EH23b.chr7,64212500,17252918,3669295,9406489,1769172,9396158,1772633,17180376,3755959,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
EH23b.chr8,55650000,13348439,5011534,7042357,2398838,7096579,2406136,13306515,5035602,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
EH23b.chr9,65951000,17183820,4375278,9146405,2055985,9283051,2052313,17500455,4346693,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
EH23b.chr6,80012778,21725860,4624076,11575963,2132718,11536616,2134982,21644059,4627004,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
EH23b.chrX,84401000,21271191,6523845,11281071,3096823,11286097,3099716,21296413,6541844,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
