Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
CM011605.1,100649945,21247724,11923260,9446784,7739557,9477812,7743629,21164120,11870359,0,0,0,0,0,0,0,0,0,0,0,0,0,36700
CM011606.1,95692043,20079135,11466514,8859056,7401469,8892545,7411595,20088329,11457800,0,0,0,0,0,0,0,0,0,0,0,0,0,35600
CM011607.1,94587701,19301623,11819937,8429963,7666157,8483535,7658497,19383434,11806455,0,0,0,0,0,0,0,0,0,0,0,0,0,38100
CM011608.1,92111078,19323216,10850622,8703161,7081171,8741262,7090669,19405556,10881520,0,0,0,0,0,0,0,0,0,0,0,0,0,33901
CM011609.1,87047438,15696590,13297563,6212291,8283395,6215876,8319449,15699844,13288130,0,0,0,0,0,0,0,0,0,0,0,0,0,34300
CM011610.1,77135887,16124866,9073957,7285965,5926713,7314183,5960080,16270544,9150879,0,0,0,0,0,0,0,0,0,0,0,0,0,28700
CM011611.1,76634836,15086857,10360867,6227848,6583062,6272788,6581099,15124456,10368959,0,0,0,0,0,0,0,0,0,0,0,0,0,28900
CM011612.1,76024397,15328051,9597361,6884026,6263942,6862680,6226072,15264274,9569691,0,0,0,0,0,0,0,0,0,0,0,0,0,28300
CM011613.1,49536295,8756425,7636977,3583317,4817774,3557032,4812762,8733997,7621111,0,0,0,0,0,0,0,0,0,0,0,0,0,16900
CM011614.1,35338263,6228184,5583592,2406384,3491990,2386894,3473714,6176569,5578236,0,0,0,0,0,0,0,0,0,0,0,0,0,12700
QKVJ02000002.1,2489603,624835,170973,340908,132677,329330,129446,598385,163049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000003.1,2148663,488815,173598,318156,135097,278881,128923,461274,163919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000007.1,1789924,420784,146247,212583,116035,214695,114003,420065,145512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000008.1,1753943,328860,253300,133284,161728,137053,160767,329755,249196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000019.1,1458989,329730,144109,161759,100065,152783,98266,325922,146355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000026.1,1362497,298296,153929,131000,97580,135050,99542,296328,150772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000037.1,1237905,189740,226499,66998,133955,69601,137344,189795,223973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000044.1,1231182,190879,235961,57615,132928,56202,132848,188671,236078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000052.1,1168850,287991,98890,135452,67948,128103,67168,284730,98568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000057.1,111980,16600,21210,5202,12849,5404,13584,16472,20659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000067.1,1093794,244244,115245,116255,79183,113307,79092,236054,110414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000068.1,1093055,267865,88481,137610,66366,123742,64857,257766,86368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000076.1,1055110,249725,91177,123082,63439,122333,65773,247815,91766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000081.1,1048473,234996,108063,110319,74934,108218,73622,233760,104561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000097.1,962075,210498,108192,94504,71770,92844,69731,209749,104787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000098.1,960950,252841,57879,125636,44209,123793,42215,254589,59788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000107.1,920919,205003,102024,88383,65693,87748,67342,202718,102008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKVJ02000114.1,907755,217695,78538,97488,55292,102681,56077,221484,78500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
