# BUSCO version is: 5.4.3 
# The lineage dataset is:  (Creation date: 2020-09-10, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2at71240	Complete	chr04	59375834	59427686	-	5614.7	4099
10at71240	Complete	chr02	42824870	42847588	-	6723.1	3829
17at71240	Complete	chr02	8847920	8895418	-	6694.3	3910
86at71240	Complete	chr01	85678541	85699353	+	5229.1	3121
204at71240	Complete	chr04	45612813	45657997	-	3826.3	2182
224at71240	Complete	chr01	74708259	74728652	-	2768.8	1841
265at71240	Complete	chr03	60542709	60565715	+	2667.9	1616
312at71240	Complete	chr08	45369693	45441212	-	3407.9	2026
355at71240	Complete	chr08	28649494	28702745	-	4311.1	2145
368at71240	Complete	chr02	38810009	38842975	+	2617.4	1625
383at71240	Complete	chr03	12561124	12575718	-	2711.2	1679
491at71240	Complete	chr03	37839028	37866691	+	2234.4	1691
526at71240	Complete	chr04	11617364	11645426	+	2759.1	1529
561at71240	Complete	chr08	47777786	47812275	-	2857.6	1611
597at71240	Complete	chr10	267095	288711	-	2854.7	1534
640at71240	Complete	chr12	53985106	54022544	-	2698.4	1612
703at71240	Complete	chr03	27080692	27134895	+	2675.6	1527
707at71240	Complete	chr08	9690484	9754724	-	2971.9	1488
727at71240	Complete	chr02	28520916	28528714	-	2505.6	1594
745at71240	Complete	chr03	28625862	28669413	-	2781.2	1648
769at71240	Complete	chr08	45513065	45549800	+	2885.9	1612
779at71240	Complete	chr08	40910520	40929375	-	2070.4	1314
793at71240	Complete	chr03	49081363	49104979	+	2304.7	1712
836at71240	Complete	chr04	59982754	59992585	+	1866.5	1734
851at71240	Complete	chr03	17331806	17349778	-	2315.4	1386
906at71240	Complete	chr04	7779827	7790311	-	1690.1	1466
916at71240	Complete	chr07	53110715	53123062	+	2827.4	1639
933at71240	Complete	chr01	81275972	81300829	-	2245.0	1324
945at71240	Complete	chr07	56875048	56894720	-	2795.9	1552
1064at71240	Complete	chr05	17934046	17989349	-	2372.8	1415
1065at71240	Complete	chr01	84917924	84940085	+	1728.1	1327
1115at71240	Complete	chr08	57149717	57173595	-	2328.1	1597
1147at71240	Complete	chr08	53410874	53438270	+	2074.4	1464
1158at71240	Complete	chr09	33026323	33042713	-	2117.3	1374
1159at71240	Complete	chr10	46818822	46829828	+	1796.6	1433
1162at71240	Complete	chr01	75963322	75976731	-	2658.8	1499
1185at71240	Complete	chr03	35845251	35874923	-	2074.7	1313
1212at71240	Complete	chr06	52786505	52849563	-	2427.5	1373
1291at71240	Complete	chr04	406362	435088	+	2181.7	1357
1308at71240	Complete	chr01	65376313	65394494	-	2477.6	1200
1357at71240	Complete	chr05	45771074	45802324	-	1902.9	1309
1506at71240	Complete	chr04	8764351	8773377	-	2347.9	1209
1526at71240	Complete	chr02	26308865	26329314	-	2185.7	1158
1566at71240	Complete	chr03	40044695	40096933	+	2048.3	1173
1578at71240	Complete	chr12	961984	982584	-	2225.0	1312
1589at71240	Complete	chr04	11401219	11406922	-	2553.2	1201
1604at71240	Complete	chr07	53906882	53914336	+	1817.9	1042
1674at71240	Complete	chr01	79851812	79874676	-	1756.7	1221
1722at71240	Complete	chr04	67442961	67454872	-	1885.6	1095
1950at71240	Complete	chr07	335543	377749	-	2087.5	1282
2018at71240	Complete	chr08	57702911	57711700	-	1659.4	1107
2045at71240	Complete	chr11	10821200	10878193	+	2069.6	1111
2065at71240	Complete	chr10	58107017	58119348	+	1905.2	1116
2073at71240	Complete	chr02	44832531	44846196	-	2199.1	1547
2143at71240	Complete	chr03	11527755	11531956	+	2074.1	1156
2268at71240	Complete	chr03	45998293	46004245	+	2258.4	1226
2327at71240	Complete	chr01	71352717	71367941	+	1758.4	1051
2360at71240	Complete	chr05	53598428	53604769	+	1787.7	1053
2395at71240	Complete	chr12	1600567	1610744	+	2166.6	1327
2400at71240	Complete	chr07	45895328	45902381	-	1557.6	970
2421at71240	Complete	chr06	46132339	46147299	-	1987.6	1041
2430at71240	Complete	chr03	56749678	56770328	+	1975.6	1128
2474at71240	Complete	chr04	52027570	52036499	+	1878.9	1070
2499at71240	Complete	chr02	39373907	39394247	-	1951.4	1110
2529at71240	Complete	chr03	45940442	45951643	+	1806.5	1043
2585at71240	Complete	chr06	46760308	46788049	-	1686.4	1094
2753at71240	Complete	chr03	55820315	55841558	+	1876.4	1186
2869at71240	Complete	chr01	59398411	59405976	-	1486.1	923
2873at71240	Complete	chr04	44638918	44698781	-	1795.4	1082
2884at71240	Complete	chr11	8048521	8065501	-	1498.8	1019
2954at71240	Complete	chr06	4033440	4068027	+	1943.9	1050
2956at71240	Complete	chr03	51348835	51354116	+	2166.1	1154
2984at71240	Complete	chr09	8318296	8339823	-	1458.4	934
3053at71240	Complete	chr09	1855909	1859712	+	2338.6	1130
3069at71240	Complete	chr02	44209999	44215120	+	1808.3	924
3142at71240	Complete	chr11	8818839	8826613	+	1937.2	1146
3157at71240	Complete	chr02	34215124	34226845	+	1459.5	1192
3166at71240	Complete	chr06	55698134	55703502	-	2174.0	1018
3221at71240	Complete	chr01	65735620	65748796	+	1113.8	665
3382at71240	Complete	chr08	8511755	8536603	-	1737.5	973
3391at71240	Complete	chr01	80366959	80381076	+	2193.9	1105
3447at71240	Complete	chr04	10996159	10999662	+	1700.5	943
3471at71240	Complete	chr11	9707827	9756167	-	1863.9	934
3475at71240	Complete	chr01	64135291	64164600	-	1873.2	1111
3500at71240	Complete	chr04	69021894	69036517	+	1469.9	988
3501at71240	Complete	chr09	66767353	66778712	+	1531.2	905
3595at71240	Complete	chr01	88027373	88037599	-	1507.2	1096
3633at71240	Complete	chr01	71597636	71611643	-	1765.2	991
3639at71240	Complete	chr03	6510545	6518780	-	1407.8	947
3732at71240	Complete	chr06	43746075	43775125	+	1122.5	855
3734at71240	Complete	chr03	57750396	57765478	-	1653.3	1027
3767at71240	Complete	chr03	52675845	52686372	-	1578.0	915
3870at71240	Complete	chr09	4057066	4069407	+	1474.4	943
3884at71240	Complete	chr08	52758638	52778628	+	2158.4	1224
3897at71240	Complete	chr03	56506003	56521245	-	1835.2	948
3930at71240	Complete	chr11	44691396	44701772	+	1369.3	1005
3966at71240	Complete	chr11	42004955	42014131	-	2024.1	1010
3978at71240	Complete	chr02	35986417	35994429	+	1658.8	975
4043at71240	Complete	chr05	30789925	30862803	-	1800.9	1022
4088at71240	Complete	chr01	64781902	64799691	+	1341.5	981
4227at71240	Complete	chr02	16567517	16610226	+	1603.8	979
4302at71240	Complete	chr06	25244738	25255049	-	1441.6	869
4325at71240	Complete	chr03	53425101	53440717	+	1327.5	899
4403at71240	Complete	chr05	54447849	54454482	-	1500.8	846
4425at71240	Complete	chr12	8097446	8130617	-	1590.0	904
4609at71240	Complete	chr09	59709020	59713633	+	1845.4	954
4757at71240	Complete	chr07	2460822	2466641	-	1135.0	632
4778at71240	Complete	chr05	18757642	18773324	-	1621.8	888
4807at71240	Complete	chr02	38318519	38330657	-	1324.1	889
4838at71240	Complete	chr04	43271481	43296446	+	1676.5	961
4907at71240	Complete	chr03	54040050	54056080	-	1191.7	775
4918at71240	Complete	chr12	35418434	35423794	+	1143.4	805
4933at71240	Complete	chr09	63533877	63572583	-	1850.1	971
5096at71240	Complete	chr05	6753117	6764889	-	1789.7	931
5171at71240	Complete	chr09	56569789	56576738	+	1645.7	975
5180at71240	Complete	chr01	2746443	2758818	+	850.1	614
5218at71240	Complete	chr07	2989869	2995254	+	1776.4	865
5269at71240	Complete	chr01	70424918	70464176	+	1573.1	899
5369at71240	Complete	chr02	34912968	34915919	+	1458.7	799
5402at71240	Complete	chr06	560256	588864	+	1703.6	1028
5406at71240	Complete	chr01	64982955	65004067	+	1540.9	804
5407at71240	Complete	chr02	34659289	34681371	-	1207.3	673
5427at71240	Complete	chr11	44716073	44719141	-	1608.2	851
5504at71240	Complete	chr01	74776314	74783292	-	1602.2	897
5623at71240	Complete	chr01	78965678	78988047	+	1528.7	866
5633at71240	Complete	chr02	25154800	25163420	+	1207.9	935
5653at71240	Complete	chr07	40283474	40305928	+	1446.4	874
5656at71240	Complete	chr03	57899851	57903003	-	1327.8	825
5663at71240	Complete	chr01	61845856	61866737	-	1721.3	890
5687at71240	Complete	chr12	7431395	7445321	-	1273.9	1083
5699at71240	Duplicated	chr05	13447286	13512904	+	1635.9	835
5699at71240	Duplicated	chr06	8551732	8603509	+	1643.6	834
5730at71240	Complete	chr07	45171965	45175222	-	1474.4	844
5943at71240	Complete	chr04	11577708	11594112	+	1049.3	836
6058at71240	Complete	chr04	62254605	62262392	+	1679.5	1000
6130at71240	Complete	chr10	610203	619129	-	1157.4	827
6146at71240	Complete	chr12	49175829	49194467	-	1625.1	1074
6220at71240	Complete	chr12	20229638	20292275	-	1714.9	1015
6428at71240	Complete	chr03	55517837	55525274	-	1529.6	871
6441at71240	Complete	chr04	13989505	14038891	+	1596.3	1089
6442at71240	Complete	chr01	67366026	67387280	-	1042.2	830
6496at71240	Complete	chr05	13544705	13571641	+	1296.9	770
6528at71240	Complete	chr07	12816806	12881970	-	1299.1	794
6543at71240	Complete	chr01	68518060	68521173	-	1413.0	842
6642at71240	Complete	chr06	52184990	52213764	+	1550.3	869
6650at71240	Complete	chr11	7414840	7424990	-	1091.6	802
6688at71240	Complete	chr02	5127768	5170427	+	1485.1	804
6689at71240	Complete	chr11	4597044	4611340	+	1329.2	746
6786at71240	Complete	chr03	51838820	51841960	+	1643.7	807
6800at71240	Complete	chr01	2834400	2858346	-	1587.4	1004
6862at71240	Complete	chr04	54356419	54385021	+	1271.1	842
6890at71240	Complete	chr11	46691890	46694571	-	1226.1	751
6952at71240	Complete	chr12	47745838	47800335	-	1585.8	808
6976at71240	Complete	chr06	46953873	46959124	-	1573.0	798
7026at71240	Complete	chr02	40724547	40743433	+	1154.5	795
7075at71240	Complete	chr02	43729605	43738932	-	1790.2	1082
7149at71240	Complete	chr07	42335952	42349425	+	1332.2	890
7249at71240	Complete	chr03	45726296	45732238	-	1557.0	920
7309at71240	Complete	chr01	66568823	66595419	-	1386.7	902
7345at71240	Complete	chr08	30944627	30965606	-	659.0	467
7385at71240	Complete	chr07	20554420	20622463	-	1585.1	841
7677at71240	Complete	chr12	1246034	1258714	+	1608.3	1042
7711at71240	Complete	chr10	52338764	52345778	-	1367.9	833
7858at71240	Complete	chr05	52329684	52358027	+	1892.6	1128
7892at71240	Complete	chr05	1644487	1661235	-	1420.7	881
7941at71240	Complete	chr01	2707942	2711217	+	1326.2	833
7979at71240	Complete	chr03	59967646	59975499	-	1485.1	865
8000at71240	Complete	chr03	52608055	52614412	-	1402.0	1030
8041at71240	Complete	chr01	46738568	46749194	+	1372.5	912
8091at71240	Complete	chr10	58762961	58767168	+	1359.2	870
8165at71240	Complete	chr08	58510972	58518127	+	1419.5	744
8181at71240	Complete	chr09	20467350	20479423	-	1527.2	747
8294at71240	Complete	chr07	56978937	56981843	+	1473.1	821
8311at71240	Complete	chr04	31283517	31313625	-	1537.2	1023
8314at71240	Complete	chr09	37490157	37505824	+	1386.6	723
8345at71240	Complete	chr01	2859575	2870503	+	1684.4	844
8379at71240	Complete	chr04	63103635	63135744	+	1504.5	1008
8485at71240	Duplicated	chr01	24142836	24145826	-	1390.8	763
8485at71240	Duplicated	chr01	36708463	36711447	-	1401.7	763
8517at71240	Complete	chr05	20243418	20261029	-	1387.0	850
8534at71240	Complete	chr01	68960733	68985746	-	1215.2	855
8587at71240	Duplicated	chr02	43325814	43334099	+	1622.2	873
8587at71240	Duplicated	chr06	55218610	55221666	+	1666.7	885
8672at71240	Complete	chr04	39005742	39031517	+	1334.5	763
8681at71240	Complete	chr06	57580707	57583388	+	1242.1	694
8739at71240	Complete	chr06	51133327	51141156	-	1497.6	811
8828at71240	Complete	chr05	10122245	10125415	-	1414.0	916
8890at71240	Complete	chr11	4996006	5003163	-	1417.4	817
9076at71240	Complete	chr05	12185460	12233123	-	1132.7	676
9078at71240	Complete	chr10	1616490	1623858	-	1229.1	793
9097at71240	Complete	chr07	55936462	55952311	+	1500.1	767
9220at71240	Complete	chr02	32810119	32828537	+	1533.3	820
9223at71240	Complete	chr03	44017916	44030222	-	1446.3	902
9527at71240	Complete	chr09	34085548	34149870	-	1206.9	804
9584at71240	Complete	chr01	48470721	48498497	-	1609.8	886
9629at71240	Duplicated	chr03	58097352	58113497	-	1318.3	722
9629at71240	Duplicated	chr03	58211949	58226606	+	1328.4	713
9672at71240	Complete	chr01	75576256	75596711	+	1412.3	750
9729at71240	Complete	chr02	32590345	32597611	+	1227.4	711
9742at71240	Missing
9957at71240	Complete	chr11	41689235	41691847	+	1394.0	756
10104at71240	Complete	chr07	42461583	42465920	+	933.1	624
10132at71240	Complete	chr04	65800050	65808515	-	1224.7	741
10197at71240	Complete	chr11	1598620	1607236	+	1351.7	851
10314at71240	Complete	chr01	66638364	66644520	+	1451.7	740
10338at71240	Complete	chr03	52216062	52220330	-	1434.4	709
10362at71240	Complete	chr09	66608803	66619719	+	1480.1	756
10599at71240	Complete	chr10	54546729	54561656	+	1229.7	728
10618at71240	Complete	chr09	3617138	3620036	-	1392.5	730
10648at71240	Complete	chr04	10888444	10905623	+	1392.9	707
10671at71240	Complete	chr09	53268129	53270762	-	1199.5	707
10839at71240	Complete	chr03	58570821	58580005	+	1320.5	817
10881at71240	Complete	chr01	66945533	66950161	-	947.6	775
10959at71240	Complete	chr03	58022592	58027761	+	1269.2	661
10990at71240	Complete	chr11	27062503	27067942	+	1404.0	741
10998at71240	Complete	chr03	53308142	53314645	-	1410.0	731
11034at71240	Complete	chr01	76660074	76671707	-	1145.9	676
11042at71240	Complete	chr01	3157886	3160906	-	1654.4	826
11057at71240	Complete	chr01	42355932	42363673	-	1305.7	759
11063at71240	Complete	chr03	58882957	58897925	-	1160.3	921
11153at71240	Complete	chr01	88084768	88096213	+	1530.3	816
11226at71240	Complete	chr10	60473995	60481410	+	1231.6	695
11229at71240	Complete	chr03	36864105	36883217	+	1382.9	831
11295at71240	Complete	chr05	6198347	6204957	-	1384.0	740
11327at71240	Complete	chr07	42801885	42840609	-	1447.5	801
11387at71240	Complete	chr04	68518431	68524034	-	1183.9	673
11508at71240	Complete	chr11	11363314	11371985	+	1441.8	825
11554at71240	Complete	chr02	35576199	35578865	+	1470.3	771
11597at71240	Complete	chr05	4660929	4668726	-	1201.7	698
11608at71240	Complete	chr01	62086907	62089642	-	1539.9	767
11670at71240	Complete	chr02	33200519	33202945	-	1308.9	712
11689at71240	Complete	chr02	27288241	27298181	+	916.2	521
11706at71240	Complete	chr03	44300824	44303352	-	1266.5	687
11735at71240	Complete	chr05	1716679	1723086	+	976.1	1433
11764at71240	Complete	chr06	1914801	1923679	-	1223.6	669
11772at71240	Complete	chr03	25660063	25665423	-	1214.0	663
11773at71240	Complete	chr09	29618103	29630915	+	1474.1	842
11837at71240	Complete	chr09	6313425	6325383	+	948.6	632
11919at71240	Complete	chr06	927395	942304	+	1393.6	670
12012at71240	Complete	chr08	43606425	43635992	-	1136.5	711
12252at71240	Complete	chr08	52641410	52652081	+	951.6	749
12263at71240	Complete	chr06	1428672	1437655	+	1212.4	772
12329at71240	Complete	chr09	50640852	50645130	-	1253.0	735
12336at71240	Complete	chr09	6501386	6506142	+	1278.8	831
12447at71240	Complete	chr09	64266747	64274166	-	1249.3	851
12452at71240	Complete	chr01	65767612	65791216	+	1088.9	664
12504at71240	Complete	chr03	51436451	51443374	+	1063.3	722
12585at71240	Complete	chr01	74578350	74583566	-	1025.4	700
12607at71240	Complete	chr09	59224159	59233410	+	1250.2	667
12713at71240	Complete	chr02	45958381	46030760	-	1334.8	862
12732at71240	Missing
12736at71240	Complete	chr05	12925001	12937183	-	1284.9	688
12743at71240	Duplicated	chr09	4507513	4522930	-	1294.7	783
12743at71240	Duplicated	chr09	9344716	9351080	-	1346.2	783
12743at71240	Duplicated	chr10	10693017	10700961	-	1412.4	786
12770at71240	Complete	chr02	27250364	27252919	+	1199.6	696
12847at71240	Complete	chr12	59149802	59158702	-	1150.8	699
12855at71240	Complete	chr09	67310942	67323540	+	1005.8	654
12925at71240	Complete	chr08	1132002	1145654	+	1313.4	705
13125at71240	Duplicated	chr04	6819539	6827397	+	1316.5	695
13125at71240	Duplicated	chr11	6645224	6654398	+	1330.5	711
13180at71240	Complete	chr03	41838013	41853592	-	1667.0	928
13273at71240	Complete	chr07	10079181	10081706	-	1385.7	714
13343at71240	Complete	chr04	56172112	56175195	-	1537.1	895
13359at71240	Complete	chr04	65667001	65674291	+	1655.1	928
13381at71240	Complete	chr11	26392277	26416049	-	1693.7	912
13384at71240	Complete	chr09	39928398	39931977	+	1245.3	763
13429at71240	Complete	chr07	52278206	52306555	+	1372.3	734
13473at71240	Complete	chr03	55038410	55040857	-	977.5	672
13637at71240	Complete	chr07	10475654	10527066	+	1447.0	839
13683at71240	Complete	chr02	35878651	35883915	+	1301.3	696
13746at71240	Complete	chr08	21523596	21529493	-	906.2	847
13833at71240	Complete	chr03	43552291	43558808	-	1194.3	675
13836at71240	Complete	chr01	73482869	73489688	-	1051.2	615
13914at71240	Complete	chr03	51660831	51667403	-	1121.0	650
13917at71240	Complete	chr01	62115638	62125957	+	1050.0	585
14071at71240	Complete	chr01	72120505	72122895	+	1228.0	695
14240at71240	Complete	chr02	1391475	1402430	-	1134.0	805
14304at71240	Complete	chr07	50473954	50481668	+	1265.6	614
14307at71240	Complete	chr10	556883	578809	-	1246.1	720
14313at71240	Complete	chr11	27335766	27338219	+	1208.9	674
14348at71240	Complete	chr03	59268276	59271733	+	1122.8	639
14368at71240	Complete	chr09	6156236	6172443	+	1087.2	617
14375at71240	Complete	chr07	1198255	1200627	-	1110.5	657
14405at71240	Complete	chr03	45279340	45287201	+	1290.9	681
14440at71240	Complete	chr07	40930970	40936964	+	1290.1	720
14514at71240	Duplicated	chr06	19209116	19211395	+	1221.7	692
14514at71240	Duplicated	chr12	37370099	37373692	-	1194.7	691
14527at71240	Complete	chr04	61465037	61477259	+	1137.0	712
14548at71240	Complete	chr05	383646	385904	-	1090.9	670
14634at71240	Complete	chr09	67365655	67381827	+	794.9	581
14765at71240	Duplicated	chr07	20015430	20046722	+	971.0	656
14765at71240	Duplicated	chr07	9773008	9821027	+	1057.6	663
14779at71240	Duplicated	chr02	44722040	44730327	+	1638.2	830
14779at71240	Duplicated	chr06	35233200	35260163	-	1518.2	823
14824at71240	Complete	chr10	10573571	10606054	-	1086.5	679
14878at71240	Complete	chr01	76256974	76261471	+	1166.1	670
14921at71240	Complete	chr11	7692394	7694910	+	1143.8	695
14960at71240	Complete	chr11	9540431	9542929	+	1098.9	654
14973at71240	Complete	chr02	7654015	7657569	+	1240.3	739
14981at71240	Complete	chr01	86619934	86622579	-	1212.4	752
15060at71240	Complete	chr08	53660247	53662628	+	1359.6	667
15114at71240	Complete	chr06	43275862	43300906	-	969.7	635
