HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N1.HOG0000000	OG0000002	n1														PON73999.1		
N1.HOG0000001	OG0000002	n214												PON57845.1				
N1.HOG0000002	OG0000002	n1040														PON57520.1		
N1.HOG0000003	OG0000004	n0												PON54402.1				
N1.HOG0000004	OG0000007	n3												PON35772.1				
N1.HOG0000005	OG0000007	n811												PON60607.1, PON53958.1				
N1.HOG0000006	OG0000010	n0														PON88895.1		
N1.HOG0000007	OG0000011	n1												PON51069.1		PON94567.1		
N1.HOG0000008	OG0000011	n217												PON33995.1		PON61226.1		
N1.HOG0000009	OG0000011	n220												PON54503.1				
N1.HOG0000010	OG0000011	n222												PON33184.1		PON99992.1		
N1.HOG0000011	OG0000011	n231												PON47819.1				
N1.HOG0000012	OG0000011	n240												PON43624.1		PON98592.1		
N1.HOG0000013	OG0000011	n249														PON79916.1		
N1.HOG0000014	OG0000011	n252												PON31356.1, PON31147.1				
N1.HOG0000015	OG0000011	n520												PON54606.1		PON43745.1		
N1.HOG0000016	OG0000011	n650												PON31357.1				
N1.HOG0000017	OG0000014	n1												PON63673.1		PON37164.1		
N1.HOG0000018	OG0000014	n18												PON56636.1		POO01988.1, PON76548.1, PON91216.1		
N1.HOG0000019	OG0000014	n51												PON65535.1		PON79331.1, PON56639.1		
N1.HOG0000020	OG0000014	n674												PON71466.1				
N1.HOG0000021	OG0000016	n2												PON78325.1, PON57163.1, PON68762.1		PON96631.1		
N1.HOG0000022	OG0000016	n9														PON76939.1		
N1.HOG0000023	OG0000019	n273												PON32782.1, PON31684.1				
N1.HOG0000024	OG0000019	n275												PON33566.1		PON86751.1, PON99278.1		
N1.HOG0000025	OG0000019	n277												PON67302.1, PON74935.1		POO03379.1		
N1.HOG0000026	OG0000019	n279												PON59539.1, PON44436.1				
N1.HOG0000027	OG0000019	n283														POO01370.1, PON45018.1		
N1.HOG0000028	OG0000019	n286												PON33565.1		PON52721.1, PON57974.1, PON82102.1		
N1.HOG0000029	OG0000019	n289												PON77336.1, PON44065.1		PON71766.1, PON97172.1, PON76962.1, PON82101.1		
N1.HOG0000030	OG0000019	n294												PON69215.1, PON32978.1, PON73943.1		PON99362.1		
N1.HOG0000031	OG0000019	n516														POO03733.1		
N1.HOG0000032	OG0000024	n0												PON46085.1				
N1.HOG0000033	OG0000029	n0														POO01318.1		
N1.HOG0000034	OG0000031	n0												PON34666.1				
N1.HOG0000035	OG0000032	n1												PON79065.1				
N1.HOG0000036	OG0000032	n6												PON37574.1		PON86465.1		
N1.HOG0000037	OG0000032	n12												PON68498.1		PON86773.1		
N1.HOG0000038	OG0000032	n13												PON51888.1, PON32830.1, PON38185.1		PON85593.1		
N1.HOG0000039	OG0000032	n16												PON70167.1		POO02608.1		
N1.HOG0000040	OG0000032	n17												PON56271.1		PON84034.1, PON86345.1, PON97171.1, PON84613.1, PON91059.1, PON92907.1		
N1.HOG0000041	OG0000033	n1												PON51070.1		PON97897.1		
N1.HOG0000042	OG0000033	n39														PON56480.1		
N1.HOG0000043	OG0000033	n40														PON43697.1		
N1.HOG0000044	OG0000036	n0														PON97307.1		
N1.HOG0000045	OG0000038	n1												PON57267.1		PON73274.1		
N1.HOG0000046	OG0000038	n176												PON38935.1, PON41342.1		PON45263.1		
N1.HOG0000047	OG0000038	n187												PON80582.1, PON60742.1, PON51143.1, PON33119.1, PON79215.1				
N1.HOG0000048	OG0000038	n192												PON33692.1, PON48831.1, PON48040.1				
N1.HOG0000049	OG0000038	n208														PON82063.1		
N1.HOG0000050	OG0000038	n342												PON55025.1				
N1.HOG0000051	OG0000038	n347												PON65711.1				
N1.HOG0000052	OG0000040	n1														PON81080.1		
N1.HOG0000053	OG0000040	n387												PON50459.1				
N1.HOG0000054	OG0000040	n389												PON74571.1				
N1.HOG0000055	OG0000043	n0														PON95154.1, POO01734.1, PON58069.1, PON89745.1		
N1.HOG0000056	OG0000048	n0												PON35106.1				
N1.HOG0000057	OG0000050	n3												PON73664.1		PON82270.1		
N1.HOG0000058	OG0000050	n4												PON35382.1		PON96465.1		
N1.HOG0000059	OG0000050	n5												PON75076.1				
N1.HOG0000060	OG0000051	n11												PON55629.1				
N1.HOG0000061	OG0000051	n12												PON55627.1, PON37558.1, PON79098.1		PON76973.1, POO04114.1		
N1.HOG0000062	OG0000053	n0														PON69671.1		
N1.HOG0000063	OG0000054	n0														PON72723.1		
N1.HOG0000064	OG0000055	n7												PON55959.1		PON97949.1		
N1.HOG0000065	OG0000055	n11												PON55960.1		PON97950.1		
N1.HOG0000066	OG0000055	n14												PON55958.1				
N1.HOG0000067	OG0000055	n60												PON55957.1		PON97946.1		
N1.HOG0000068	OG0000055	n76												PON54608.1		PON84994.1		
N1.HOG0000069	OG0000055	n94												PON55708.1		PON95512.1		
N1.HOG0000070	OG0000055	n111												PON55156.1		PON86813.1		
N1.HOG0000071	OG0000055	n151												PON69432.1		PON90673.1		
N1.HOG0000072	OG0000055	n152												PON69431.1		PON90672.1, PON90670.1		
N1.HOG0000073	OG0000055	n154												PON56857.1		PON97934.1		
N1.HOG0000074	OG0000055	n157												PON56868.1		PON97942.1		
N1.HOG0000075	OG0000055	n169												PON56859.1		PON97936.1		
N1.HOG0000076	OG0000055	n185												PON55956.1		PON97944.1		
N1.HOG0000077	OG0000055	n199												PON56866.1		PON97940.1		
N1.HOG0000078	OG0000055	n212												PON55966.1		PON97955.1		
N1.HOG0000079	OG0000055	n281												PON55964.1		PON97953.1		
N1.HOG0000080	OG0000055	n282												PON55962.1		PON97952.1		
N1.HOG0000081	OG0000055	n283												PON55961.1		PON97951.1		
N1.HOG0000082	OG0000056	n16												PON34835.1		PON99381.1		
