# BUSCO version is: 5.4.3 
# The lineage dataset is:  (Creation date: 2020-09-10, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2at71240	Duplicated	chr04_0	24891993	24938026	-	5601.4	4110
2at71240	Duplicated	chr04_2	15369596	15415265	-	5604.0	4121
2at71240	Duplicated	chr04_3	19561433	19608034	-	5600.6	4114
2at71240	Duplicated	chr04_4	21123501	21169448	-	5604.1	4109
10at71240	Duplicated	chr02_1	36328988	36352209	-	7141.5	4018
10at71240	Duplicated	chr02_2	43833082	43857493	-	7150.2	4030
10at71240	Duplicated	chr02_2	44588912	44611710	-	6734.7	3838
10at71240	Duplicated	chr02_4	34355557	34378351	-	6724.3	3829
17at71240	Duplicated	chr02_1	3993300	4041069	-	6561.2	3858
17at71240	Duplicated	chr02_2	9165232	9215720	+	6691.5	3914
17at71240	Duplicated	chr02_3	9511560	9559347	-	6563.2	3858
17at71240	Duplicated	chr02_4	7033956	7087902	-	6559.6	3858
86at71240	Complete	chr01_4	65848858	65875559	+	5351.3	3141
204at71240	Duplicated	chr04_0	14210706	14250288	-	3820.2	2212
204at71240	Duplicated	chr04_1	18084752	18124383	-	3824.2	2182
204at71240	Duplicated	chr04_4	13334588	13379746	-	3826.3	2182
224at71240	Duplicated	chr01_1	50440194	50460537	-	2764.9	1841
224at71240	Duplicated	chr01_2	67016652	67037045	-	2767.7	1841
224at71240	Duplicated	chr01_3	45840645	45862699	-	2896.8	1963
265at71240	Complete	chr03_1	48224495	48246391	+	2664.5	1614
312at71240	Duplicated	chr08_1	12859611	12938026	-	3430.1	2036
312at71240	Duplicated	chr08_2	39502112	39587293	-	3407.0	2066
312at71240	Duplicated	chr08_3	14538551	14623732	-	3407.0	2066
312at71240	Duplicated	chr08_4	38603456	38685163	-	3403.4	2029
355at71240	Duplicated	chr08_1	5272588	5319874	-	4308.1	2143
355at71240	Duplicated	chr08_2	24413906	24466911	-	4306.4	2145
355at71240	Duplicated	chr08_4	22088655	22148623	-	4308.7	2145
368at71240	Duplicated	chr02_1	32800374	32830815	+	2678.4	1662
368at71240	Duplicated	chr02_2	39941438	39977173	+	2618.4	1625
368at71240	Duplicated	chr02_3	39859663	39891733	+	2609.5	1661
368at71240	Duplicated	chr02_4	31742237	31774307	+	2609.5	1661
383at71240	Complete	chr03_3	14358968	14369744	+	2712.9	1676
