# BUSCO version is: 5.4.3 
# The lineage dataset is:  (Creation date: 2020-09-10, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2at71240	Duplicated	chr04_0	25679618	25725271	-	5616.1	4086
2at71240	Duplicated	chr04_1	20439419	20485072	-	5616.1	4086
2at71240	Duplicated	chr04_2	23427318	23472647	-	5381.1	4065
2at71240	Duplicated	chr04_3	21765290	21811297	-	5375.9	4083
10at71240	Duplicated	chr02_0	24994796	25017594	-	6734.7	3838
10at71240	Duplicated	chr02_1	13810178	13832972	-	6723.2	3833
10at71240	Duplicated	chr02_2	25710955	25733752	-	7147.0	4019
10at71240	Duplicated	chr02_4	20412689	20435487	-	6734.7	3838
17at71240	Duplicated	chr02_0	1836359	1949967	-	5971.5	3448
17at71240	Duplicated	chr02_2	2056574	2101219	-	6695.1	3909
17at71240	Duplicated	chr02_3	7341136	7388923	-	6563.2	3858
86at71240	Duplicated	chr01_1	58591133	58617834	+	5351.2	3139
86at71240	Duplicated	chr01_2	41805734	41832435	+	5351.2	3139
86at71240	Duplicated	chr01_4	51751800	51772600	+	5229.1	3121
204at71240	Duplicated	chr04_0	14460705	14495211	-	3714.8	2125
204at71240	Duplicated	chr04_2	16531551	16571365	-	3824.2	2182
224at71240	Duplicated	chr01_1	50476420	50496760	-	2764.9	1841
224at71240	Duplicated	chr01_2	31678624	31698964	-	2764.9	1841
224at71240	Duplicated	chr01_3	30473887	30494280	-	2768.8	1841
224at71240	Duplicated	chr01_4	45844908	45870622	-	2761.7	1841
265at71240	Duplicated	chr03_0	29165565	29189316	+	2615.7	1624
265at71240	Duplicated	chr03_4	32542373	32564269	+	2664.5	1614
312at71240	Duplicated	chr08_1	9154507	9232938	-	3430.1	2036
312at71240	Duplicated	chr08_2	8504446	8575794	-	3404.2	2023
312at71240	Duplicated	chr08_3	6756833	6834138	-	3410.4	2017
312at71240	Duplicated	chr08_4	9443174	9520479	-	3410.4	2017
355at71240	Complete	chr09_0	6455274	6502560	-	4308.1	2143
368at71240	Complete	chr02_4	16851161	16881602	+	2678.4	1662
383at71240	Missing
491at71240	Complete	chr03_4	15126027	15153687	+	2234.4	1691
526at71240	Duplicated	chr04_1	6334419	6383041	+	2742.0	1517
526at71240	Duplicated	chr04_2	7176878	7245631	+	2660.6	1504
526at71240	Duplicated	chr04_3	9834639	9886060	+	2669.0	1506
561at71240	Duplicated	chr08_1	11689087	11720575	-	2787.8	1610
561at71240	Duplicated	chr08_3	9321561	9350784	-	2948.5	1634
561at71240	Duplicated	chr08_4	12075907	12110441	-	2857.6	1611
597at71240	Duplicated	chr10_1	190091	211629	+	2846.8	1545
597at71240	Duplicated	chr10_2	190091	211629	+	2846.8	1545
597at71240	Duplicated	chr10_4	195992	218550	+	2635.2	1428
640at71240	Duplicated	chr12_0	5067441	5098025	-	2736.2	1608
640at71240	Duplicated	chr12_0	7820097	7856633	-	2724.6	1608
640at71240	Duplicated	chr12_1	48078402	48110488	-	2750.2	1601
640at71240	Duplicated	chr12_4	33829783	33860367	-	2736.2	1608
703at71240	Complete	chr03_0	7927550	7981751	+	2676.7	1527
707at71240	Duplicated	chr08_0	15018114	15080215	-	2836.5	1456
707at71240	Duplicated	chr08_0	15444013	15506789	-	2964.3	1488
727at71240	Duplicated	chr02_0	15323641	15331449	-	2506.6	1594
727at71240	Duplicated	chr02_2	16849616	16857417	-	2508.7	1594
